,Eff Gas Day/Eff Time,TSP Name,CycleDesc,Loc Purp Desc,Loc,Loc Name,Loc Zn,Loc (Segment),Design Capacity,Operating Capacity,Total Scheduled Quantity,Operationally Available Capacity,IT,Flow Ind,All Qty Avail,Qty Reason,TimeStamp
0,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,17,NICORGAS/NGPL FRANKLIN GROVE LEE   ,6.0,29.0,"6,959","6,959",0,0,N,D,Y,,2025-04-26 10:40:07
1,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,20,NICORGAS/NGPL HARMON LEE           ,6.0,29.0,"1,218","1,218",0,0,N,D,Y,,2025-04-26 10:40:07
2,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,27,NICORGAS/NGPL NORWAY LA SALLE      ,6.0,14.0,"7,600","7,600",0,0,N,D,Y,,2025-04-26 10:40:07
3,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,34,AMER IL/NGPL HENNEPIN BUREAU       ,6.0,14.0,"70,798","70,798",0,0,N,D,Y,,2025-04-26 10:40:07
4,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,55,MIDAMER/NGPL ILL CITY ROCK ISLAND  ,6.0,14.0,433,433,0,0,N,D,Y,,2025-04-26 10:40:07
5,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,56,NICORGAS/NGPL RO                   ,6.0,14.0,"76,600","76,600",0,0,N,D,Y,,2025-04-26 10:40:07
6,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,58,MIDAMER/NGPL W LIBERTY MUSCATINE   ,6.0,14.0,"19,109","19,109",0,0,N,D,Y,,2025-04-26 10:40:07
7,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,66,MIDAMER/NGPL CEDR RAP#2 WASHINGTON ,6.0,14.0,"186,844","186,844",0,0,N,D,Y,,2025-04-26 10:40:07
8,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,68,IPLC/NGPL WASHINGTON WASHINGTON    ,6.0,14.0,"16,826","16,826",0,0,N,D,Y,,2025-04-26 10:40:07
9,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,113,MIDAMER/NGPL MALVERN MILLS         ,6.0,13.0,"1,663","1,663",0,0,N,D,Y,,2025-04-26 10:40:07
10,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,115,MIDAMER/NGPL PACIFIC JCT MILLS     ,6.0,12.0,"1,168","1,168",0,0,N,D,Y,,2025-04-26 10:40:07
11,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,118,NEB CITY/NGPL OT                   ,6.0,12.0,"18,514","18,514",0,0,N,D,Y,,2025-04-26 10:40:07
12,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,148,AMER IL/NGPL DELAND PIATT          ,6.0,28.0,"38,830","38,830",0,0,N,D,Y,,2025-04-26 10:40:07
13,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,154,BETHANY/NGPL MOU                   ,6.0,28.0,"1,540","1,540",80,"1,460",N,D,Y,,2025-04-26 10:40:07
14,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,157,AMER IL/NGPL WINDSOR SHELBY        ,6.0,28.0,"5,770","5,770",0,0,N,D,Y,,2025-04-26 10:40:07
15,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,167,SALEM/NGPL CLINT                   ,6.0,28.0,"13,530","13,530",734,"12,796",N,D,Y,,2025-04-26 10:40:07
16,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,1790,OXY/NGPL FUEL GAS #2 EDDY          ,1.0,7.0,"9,285","9,285",0,"9,285",N,D,Y,,2025-04-26 10:40:07
17,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,1791,DCP OPER/NGPL FUEL GAS EDDY        ,1.0,7.0,"9,255","9,255",0,"9,255",N,D,Y,,2025-04-26 10:40:07
18,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,2927,KMTEJAS/NGPL MON                   ,4.0,22.0,"316,157","316,157",0,"316,157",N,BD,Y,,2025-04-26 10:40:07
19,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,2965,NICORGAS/NGPL FARMER CITY PIATT    ,6.0,28.0,"78,190","78,190",0,0,N,D,Y,,2025-04-26 10:40:07
20,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,3063,KGS/NGPL FORD                      ,2.0,11.0,"117,562","117,562",0,"117,562",N,BD,Y,,2025-04-26 10:40:07
21,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,3083,EPNG/NGPL JAL LEA                  ,1.0,9.0,"335,962","170,000",0,"170,000",N,D,Y,,2025-04-26 10:40:07
22,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,3352,ETP/NGPL BECKVILLE PANOLA          ,3.0,26.0,"300,000","300,000",0,"300,000",N,BD,Y,,2025-04-26 10:40:07
23,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,3592,SABPL/NGPL HENRY HUB VERMILION     ,5.0,24.0,"500,000","500,000","193,578","306,422",N,BD,Y,,2025-04-26 10:40:07
24,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,3618,FGT/NGPL JEFFERS                   ,3.0,25.0,"51,000","51,000","21,889","29,111",N,D,Y,,2025-04-26 10:40:07
25,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,3644,KMTEJAS/NGPL BECKVILLE PANOLA      ,3.0,26.0,"52,169","52,169",0,"52,169",N,BD,Y,,2025-04-26 10:40:07
26,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,3697,IPC/NGPL PINE BLUFF SALINE         ,6.0,27.0,"90,426","90,426",0,"90,426",N,D,Y,,2025-04-26 10:40:07
27,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,3734,WISC ELE/NGPL LA                   ,6.0,39.0,"184,370","184,370",0,"184,370",N,D,Y,,2025-04-26 10:40:07
28,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,3817,MB HUB/NGPL MOSS  BLUFF LIBERTY    ,3.0,25.0,"470,475","470,475","188,805","281,670",N,BD,Y,,2025-04-26 10:40:07
29,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,3857,PGLC/NGPL MANLOVE PIATT            ,6.0,28.0,"463,360","463,360",0,0,N,D,Y,,2025-04-26 10:40:07
30,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,3886,BANHUB/NGPL BANQUETE   HUB    BI-DI,4.0,20.0,"200,000","200,000",0,"200,000",N,BD,Y,,2025-04-26 10:40:07
31,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,3950,MIDAMER/NGPL DES MOINES WARREN     ,6.0,13.0,"125,000","125,000",0,0,N,D,Y,,2025-04-26 10:40:07
32,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,3952,VALMSC/NGPL CART                   ,3.0,15.0,"40,000","40,000","11,904","28,096",N,D,Y,,2025-04-26 10:40:07
33,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,4100,NICORGAS/NGPL STREAMWOOD COOK      ,6.0,30.0,"86,726","86,726",0,0,N,D,Y,,2025-04-26 10:40:07
34,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,4101,NICORGAS/NGPL HAMMES AVE WILL      ,6.0,31.0,"43,060","43,060",0,0,N,D,Y,,2025-04-26 10:40:07
35,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,4102,NICORGAS/NGPL MOUND ROAD WILL      ,6.0,32.0,"48,100","48,100",0,0,N,D,Y,,2025-04-26 10:40:07
36,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,4103,NICORGAS/NGPL CICERO AVE COOK      ,6.0,31.0,"55,180","55,180",0,0,N,D,Y,,2025-04-26 10:40:07
37,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,4109,NICORGAS/NGPL WEBER ROAD WILL      ,6.0,31.0,"229,081","229,081",0,0,N,D,Y,,2025-04-26 10:40:07
38,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,4111,NICORGAS/NGPL GOUGAR ROAD WILL     ,6.0,32.0,"52,360","52,360",0,0,N,D,Y,,2025-04-26 10:40:07
39,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,4115,NICORGAS/NGPL CENTRAL AVE COOK     ,6.0,33.0,"216,760","216,760",0,0,N,D,Y,,2025-04-26 10:40:07
40,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,4124,NICORGAS/NGPL WEST CHICAGO DU PAGE ,6.0,30.0,"237,119","237,119",0,0,N,D,Y,,2025-04-26 10:40:07
41,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,4130,NICORGAS/NGPL CHICAGO HEIGHTS COOK ,6.0,32.0,"83,340","83,340",0,0,N,D,Y,,2025-04-26 10:40:07
42,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,4131,NICORGAS/NGPL PARK RIDGE COOK      ,6.0,30.0,"545,963","545,963",0,0,N,D,Y,,2025-04-26 10:40:07
43,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,4132,NICORGAS/NGPL LAWNDALE AVE COOK    ,6.0,31.0,"170,360","170,360",0,0,N,D,Y,,2025-04-26 10:40:07
44,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,4134,NICORGAS/NGPL CALDWELL AVE COOK    ,6.0,30.0,"241,383","241,383",0,0,N,D,Y,,2025-04-26 10:40:07
45,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,4142,NICORGAS/NGPL SKOKIE RD COOK       ,6.0,30.0,"546,750","546,750",0,0,N,D,Y,,2025-04-26 10:40:07
46,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,4143,NICORGAS/NGPL RIVERDALE COOK       ,6.0,32.0,"55,400","55,400",0,0,N,D,Y,,2025-04-26 10:40:07
47,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,4151,PGLC/NGPL ORAM RD EMERG INTER WILL ,6.0,33.0,"128,750","128,750",0,0,N,D,Y,,2025-04-26 10:40:07
48,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,4153,PGLC/NGPL 138TH ST COOK            ,6.0,32.0,"22,050","22,050",0,0,N,D,Y,,2025-04-26 10:40:07
49,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,4156,PGLC/NGPL O'HARE #1 COOK           ,6.0,30.0,"86,641","86,641",0,0,N,D,Y,,2025-04-26 10:40:07
50,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,4166,PGLC/NGPL O'HARE #2 COOK           ,6.0,30.0,"86,384","86,384",0,0,N,D,Y,,2025-04-26 10:40:07
